task,llm_model,attn_method,predictors,dependent,feature_name,coefficient,t,std_error,p_value,rsquared,rsquared_adj,rmse,f_pvalue,perm_imp_mean,perm_imp_std,wilcoxon_baseline_stat,wilcoxon_baseline_p,wilcoxon_pca_vs_gaze_stat,wilcoxon_pca_vs_gaze_p
task3,llama,saliency,text+saliency,FFD,role,0.00974740860332518,5.456066703458148,0.0017865266561252096,5.045870792188345e-08,0.21244134426765893,0.21003585051160412,0.037823780439838695,0.0,0.0004589397325746522,0.0001293724791557612,,,,
task3,llama,saliency,text+saliency,FFD,attention_layer_0,0.029304811746675635,3.1216686455101055,0.00938754719813864,0.0018061066119722095,0.21244134426765893,0.21003585051160412,0.037823780439838695,0.0,6.841800712605386e-05,3.091746479863098e-05,,,,
task3,llama,saliency,text+saliency,pca,const,-0.09491533191213342,-8.781758086240137,0.01080823805211092,2.0268579790032776e-18,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,0.0,0.0,616557.0,0.0022674784509559075,,
task3,llama,saliency,text+saliency,pca,frequency,-0.00039507258258167236,-0.2851358237437882,0.0013855592657367002,0.7755490840329009,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,-8.454366995069851e-06,9.823436791589423e-06,,,,
task3,llama,saliency,text+saliency,pca,length,0.014394546826187562,24.90534676375295,0.0005779701428264101,6.674636155117437e-131,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,0.015014871556465461,0.0005778948996759005,,,,
task3,llama,saliency,text+saliency,pca,surprisal,0.002598197421050286,14.131385819303308,0.00018386005833208365,1.0949279108987808e-44,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,0.002882437015060517,0.00039372226783673743,,,,
task3,llama,saliency,text+saliency,pca,role,0.016996441987925274,4.200688316547396,0.0040461088057813545,2.6962934733764786e-05,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,0.0006002959436762726,0.00022189222801732272,,,,
task3,llama,saliency,text+saliency,pca,attention_layer_0,0.03818885163645757,1.7962070996918165,0.021260828800314734,0.07250756689425923,0.24643501686245528,0.24413335228353794,0.08503899665121721,0.0,6.423890021585305e-05,4.126014669298601e-05,,,,
task3,bert,none,text_only,nFixations,const,0.04880649279219061,7.92162587059163,0.00616117115217226,2.733931699265345e-15,0.23651343558522697,0.23464899953049012,0.040207191027632594,0.0,0.0,0.0,,,613163.0,0.0012412844248763622
task3,bert,none,text_only,nFixations,frequency,-0.005013352049939701,-7.015160259809134,0.0007146454057025495,2.527016674798287e-12,0.23651343558522697,0.23464899953049012,0.040207191027632594,0.0,0.0014254062849393921,0.00013220631927977425,,,,
task3,bert,none,text_only,nFixations,length,0.007009685788954356,25.532042379572122,0.0002745446558776951,3.6009838235765264e-137,0.23651343558522697,0.23464899953049012,0.040207191027632594,0.0,0.007485715942488429,0.00027662207557664333,,,,
task3,bert,none,text_only,nFixations,surprisal,-0.00034856803926409913,-3.962430097788827,8.796824944839081e-05,7.497723326332948e-05,0.23651343558522697,0.23464899953049012,0.040207191027632594,0.0,0.00021548662213500338,6.141169785935926e-05,,,,
task3,bert,none,text_only,nFixations,role,0.0002008182301361781,0.09825238575073046,0.002043901820823573,0.9217348863037209,0.23651343558522697,0.23464899953049012,0.040207191027632594,0.0,-1.3681596030608311e-06,2.4901680480955534e-06,,,,
task3,bert,none,text_only,meanPupilSize,const,0.04338511146392251,7.755001902776172,0.005594468190702997,1.0176661312471656e-14,0.1887895935853996,0.1868086157919573,0.03760996685835944,4.1150460718355916e-296,0.0,0.0,,,654222.0,0.2737434295658844
task3,bert,none,text_only,meanPupilSize,frequency,-0.003085715647937285,-4.755210658920581,0.0006489125023617215,2.0247172467653328e-06,0.1887895935853996,0.1868086157919573,0.03760996685835944,4.1150460718355916e-296,0.0005693692298344135,8.733223518596721e-05,,,,
task3,bert,none,text_only,meanPupilSize,length,0.005379475684547879,21.579005159212187,0.0002492921079937438,7.807087844054592e-100,0.1887895935853996,0.1868086157919573,0.03760996685835944,4.1150460718355916e-296,0.004944894398379253,0.00025244459500095985,,,,
task3,bert,none,text_only,meanPupilSize,surprisal,-0.0003335369173134336,-4.175634001069229,7.987695215338003e-05,3.010036146566505e-05,0.1887895935853996,0.1868086157919573,0.03760996685835944,4.1150460718355916e-296,0.00025809309210375814,6.253935598639083e-05,,,,
task3,bert,none,text_only,meanPupilSize,role,0.004267126622868473,2.299217012219759,0.001855904249224745,0.021523875085056723,0.1887895935853996,0.1868086157919573,0.03760996685835944,4.1150460718355916e-296,8.532816755494193e-05,5.66332787196024e-05,,,,
task3,bert,none,text_only,GD,const,0.046245898103900854,7.770065244828607,0.005951803060428607,9.046408673068219e-15,0.2251551375274362,0.22326296448110516,0.03870982754266192,0.0,0.0,0.0,,,603795.0,0.00020217721783902018
task3,bert,none,text_only,GD,frequency,-0.0046466221139496895,-6.730719157813232,0.0006903604213757371,1.831121691557549e-11,0.2251551375274362,0.22326296448110516,0.03870982754266192,0.0,0.0011637916668826623,0.00013689499505066085,,,,
task3,bert,none,text_only,GD,length,0.006205668197143071,23.398621790341803,0.00026521511620417623,2.2986445243141102e-116,0.2251551375274362,0.22326296448110516,0.03870982754266192,0.0,0.006292666792138637,0.0002911976698559048,,,,
task3,bert,none,text_only,GD,surprisal,-0.00015957542942965044,-1.877823600886226,8.497892419412554e-05,0.06044960764971216,0.2251551375274362,0.22326296448110516,0.03870982754266192,0.0,7.848588433882059e-05,2.9478789600064885e-05,,,,
